InsertionSort,0.250000,0.252600,0.002059,0
InsertionSort,0.500000,0.903800,0.017069,0
InsertionSort,0.750000,2.070400,0.112480,0
InsertionSort,1.000000,3.635000,0.220548,0
SelectionSort,0.250000,2.716800,0.384406,0
SelectionSort,0.500000,10.264400,0.617803,0
SelectionSort,0.750000,23.565200,2.538091,0
SelectionSort,1.000000,42.363800,2.803496,0
BubbleSort,0.250000,0.235200,0.002135,0
BubbleSort,0.500000,0.870200,0.023928,0
BubbleSort,0.750000,1.891000,0.022812,0
BubbleSort,1.000000,3.816400,0.535856,0
MergeSort,0.250000,0.483600,0.014500,1544
MergeSort,0.500000,1.559000,0.040527,3488
MergeSort,0.750000,3.146600,0.322251,5576
MergeSort,1.000000,4.957000,0.459148,7776
QuickSort,0.250000,3.968000,0.292207,19900
QuickSort,0.500000,14.658800,0.709292,79800
QuickSort,0.750000,38.876800,3.040241,179700
QuickSort,1.000000,68.999600,4.522131,319600
